id	sampleA	sampleB	baseMeanA	baseMeanB	log2FC	pval	padj	sig
AT1G01010	WT	h3h3	335.638935638908	321.887972271541	0.0587512718657737	0.628524985395755	0.84982178080512	notDE
AT1G01020	WT	h3h3	569.227109893869	563.19242926919	0.0152281039271709	0.880137575686665	0.958713219272182	notDE
AT1G01030	WT	h3h3	15.0089601358365	16.6287494114056	-0.144399594529693	0.801332427623966	0.929719343048395	notDE
AT1G01040	WT	h3h3	2681.85507353786	2905.7359352486	-0.115049318607871	0.145083962097024	0.414977274326189	notDE
AT1G01050	WT	h3h3	2917.32009190468	2873.29711265701	0.0212296192168902	0.747992513665412	0.908177596565884	notDE
AT1G01060	WT	h3h3	102.064814654396	97.9524584933418	0.0577372638712653	0.869974269060412	0.955456945878262	notDE
AT1G01070	WT	h3h3	1064.92484374239	1221.91338586205	-0.199462491560632	0.0127377042084214	0.081767966313952	notDE
AT1G01080	WT	h3h3	1806.77472497839	1603.78337908216	0.170526033290935	0.0197205140604316	0.112722985291664	notDE
AT1G01090	WT	h3h3	5772.33539287566	5418.08465505476	0.0918762595621637	0.108764500326678	0.349571030241004	notDE
AT1G01100	WT	h3h3	12824.2965914908	11577.8382713752	0.147395053907954	0.00264575285827922	0.0243693752516342	notDE
AT1G01110	WT	h3h3	230.874997227634	189.376216001542	0.278988472538407	0.0851460021054568	0.302749421449019	notDE
AT1G01120	WT	h3h3	5900.66548151286	4290.08158010029	0.460439692817111	5.64058058396264e-10	3.46111842995874e-08	notDE
AT1G01130	WT	h3h3	330.807195887273	237.800055478377	0.478423544268315	0.000239861226175875	0.00334633756257744	notDE
AT1G01140	WT	h3h3	2797.22341964254	2430.27226538538	0.201602943496526	0.00680662146082965	0.0509841897809258	notDE
AT1G01150	WT	h3h3	10.7789889139456	7.62742412028185	0.477795876820812	0.481909402773356	0.760758302930417	notDE
AT1G01160	WT	h3h3	1407.04632676931	1464.68042422828	-0.0566446097904201	0.520957262389969	0.787630585452002	notDE
