id	sampleA	sampleB	baseMeanA	baseMeanB	log2FC	pval	padj	sig
AT1G01170	WT	h3h3	1544.05020952566	1614.42920280941	-0.0648850535706608	0.372841648672575	0.679813018844035	notDE
AT1G01180	WT	h3h3	61.2421151715667	60.4414464926953	0.0192037529611437	0.942150320069142	0.980735110225968	notDE
AT1G01190	WT	h3h3	14.6162193248862	7.93773530317084	0.921841567404723	0.161068913260821	0.438736865636161	notDE
AT1G01200	WT	h3h3	84.6537084409233	90.0337667366838	-0.0905341517279393	0.696793850059746	0.883628844615945	notDE
AT1G01210	WT	h3h3	455.28228703764	438.043256555408	0.0547781523391591	0.607929657726701	0.840086056670149	notDE
AT1G01220	WT	h3h3	1589.88027491717	1732.39997810721	-0.123738977336454	0.0960726153488866	0.324919398155098	notDE
AT1G01225	WT	h3h3	310.506927273566	322.620418804695	-0.0517554603186031	0.675353818062466	0.872087675699934	notDE
AT1G01230	WT	h3h3	1044.11751430474	1075.88363875179	-0.0442302391503463	0.610696996917507	0.841196127162052	notDE
AT1G01240	WT	h3h3	3910.7342753039	3652.99038867435	0.0988082320371637	0.0958305739551303	0.324556056452444	notDE
AT1G01250	WT	h3h3	432.277002862734	750.835747813475	-0.798025765704342	1.01279459051969e-11	8.21552884696183e-10	notDE
AT1G01260	WT	h3h3	1367.48689864287	1295.85120551731	0.0779942885630971	0.280192739087775	0.592332429177168	notDE
AT1G01290	WT	h3h3	667.031645443761	718.34002666715	-0.10566012848981	0.270735319854457	0.582576052520418	notDE
AT1G01300	WT	h3h3	6125.18589916598	6546.37692395439	-0.095974753418855	0.124266919226426	0.380847715565889	notDE
AT1G01305	WT	h3h3	18.5139257035121	14.6573832323892	0.322192848480847	0.564458103193899	0.814266007320595	notDE
AT1G01310	WT	h3h3	158.27885072344	211.781603471282	-0.418489029096793	0.44170387790025	0.731957637176651	notDE
AT1G01320	WT	h3h3	14603.8345839418	13029.5478784811	0.164753662630042	0.0012395965678703	0.0131676391373722	notDE
AT1G01340	WT	h3h3	149.143495085561	59.7587942705048	1.31999365682461	1.72221854001458e-08	7.91444421339316e-07	DE
AT1G01350	WT	h3h3	1005.01042769953	983.685767489022	0.0309290932268762	0.691076680134419	0.881126881702702	notDE
AT1G01355	WT	h3h3	2.11634274984132	1.34710499425011	0.616527662959064	0.695779389686669	NA	notDE
AT1G01360	WT	h3h3	884.070041113218	996.248722793996	-0.172442217135078	0.0698651717421558	0.266561998637667	notDE
AT1G01370	WT	h3h3	355.676021459148	294.309372978729	0.272338396250603	0.0279848226760566	0.145248419197226	notDE
AT1G01390	WT	h3h3	6.34902980225333	8.61310720979009	-0.412740212914238	0.596256515710555	0.834327690537441	notDE
AT1G01420	WT	h3h3	8.59945126043913	12.4742911727955	-0.55266174737169	0.408339408184243	0.707896765146793	notDE
AT1G01430	WT	h3h3	1104.32763478723	1091.77684184894	0.0159484282870073	0.898690969498863	0.966688592964234	notDE
AT1G01440	WT	h3h3	912.024540841072	929.343195369319	-0.0250261334547017	0.767255601970632	0.917041735907901	notDE
AT1G01448	WT	h3h3	267.912818066585	301.659556411076	-0.172191392908298	0.194934888580428	0.489221919483166	notDE
AT1G01453	WT	h3h3	45.3081599389842	56.6788451544073	-0.330529200386898	0.28914324742681	0.601223676438987	notDE
AT1G01460	WT	h3h3	86.6432291892842	96.6521938642163	-0.152682085425482	0.676484211142589	0.872705384434852	notDE
AT1G01470	WT	h3h3	2098.49789004249	2240.23027138511	-0.0939978366978355	0.404242233720979	0.704928302553347	notDE
AT1G01480	WT	h3h3	2161.98349657393	1538.41389617358	0.491860413315169	3.04945808425731e-09	1.63260362185926e-07	notDE
AT1G01490	WT	h3h3	3549.32020946428	3302.34537693026	0.103774588918265	0.0795712117086727	0.291135742139283	notDE
AT1G01500	WT	h3h3	661.04156933033	677.924870200418	-0.0343670940873389	0.728889774756097	0.899666980265042	notDE
AT1G01510	WT	h3h3	2193.1684167405	2249.21670253253	-0.0347225343795965	0.641297175567071	0.856140872808473	notDE
AT1G01520	WT	h3h3	17.9234557954615	20.9036285438523	-0.214915335222802	0.638643850652286	0.854624636738031	notDE
AT1G01530	WT	h3h3	3.5713271287646	2.03339603542895	0.76331042646621	0.558077737525495	NA	notDE
AT1G01540	WT	h3h3	2462.08290924361	2424.35970574524	0.0217105969434863	0.768666005390567	0.91709596165779	notDE
AT1G01550	WT	h3h3	7422.81649393849	7705.57262075601	-0.0540355151252299	0.28833511094686	0.600407681525589	notDE
AT1G01560	WT	h3h3	1027.51660712475	597.282910553691	0.783123477061458	4.85601095552683e-08	2.03108348852748e-06	notDE
AT1G01570	WT	h3h3	434.520669681028	435.41782841138	-0.000698835703867146	0.99600427453393	0.998924052831642	notDE
AT1G01580	WT	h3h3	1432.0310158725	2594.64311094661	-0.85630585652521	2.93524338165482e-20	5.51388044018755e-18	notDE
AT1G01590	WT	h3h3	51.3881260125552	41.1575188148307	0.319924431421424	0.2991919154525	0.610732520199722	notDE
AT1G01600	WT	h3h3	247.371051379888	318.803224471203	-0.368447770965685	0.04318877179682	0.195165129358282	notDE
AT1G01610	WT	h3h3	2275.10073078971	2469.41435999018	-0.117994334806126	0.164445825155252	0.444039674529865	notDE
AT1G01620	WT	h3h3	12280.6606901742	11171.7460145304	0.136480835928078	0.195522429775529	0.489892691428918	notDE
AT1G01630	WT	h3h3	819.72754540191	950.723018575938	-0.215289564828921	0.0516149844045705	0.220383136795919	notDE
AT1G01640	WT	h3h3	175.058280111388	204.584754882088	-0.22460076488651	0.168267800947218	0.449373497848103	notDE
AT1G01650	WT	h3h3	3263.45574050386	3221.8764440595	0.0185061355157165	0.783860375198514	0.922429384266193	notDE
AT1G01660	WT	h3h3	119.963846607919	146.858669096267	-0.289322670056311	0.151965042513733	0.424902909705131	notDE
AT1G01670	WT	h3h3	152.244402587841	214.113231689788	-0.491926710445443	0.00173009569036104	0.0173373884927851	notDE
AT1G01680	WT	h3h3	8.331741565194	12.2150933893538	-0.541277977703289	0.412726183068619	0.710643613687046	notDE
AT1G01690	WT	h3h3	558.368164738935	536.390422684683	0.0551697470176975	0.597790503946575	0.835128425990992	notDE
AT1G01695	WT	h3h3	52.5790181805598	68.711487793512	-0.379107183763017	0.16760387282242	0.448523254265227	notDE
AT1G01700	WT	h3h3	207.602939171335	226.229742454424	-0.118569416066526	0.45359190511497	0.741092479948307	notDE
AT1G01710	WT	h3h3	2148.67058824859	2016.6778754061	0.0907860277604496	0.170386048722578	0.453002275799855	notDE
AT1G01720	WT	h3h3	1873.85739448648	1572.54403346807	0.253093846295279	0.0107014748117137	0.0715715437516704	notDE
AT1G01725	WT	h3h3	427.48900258513	537.345514232973	-0.330482555135039	0.00205915708143108	0.019962358034788	notDE
AT1G01730	WT	h3h3	1540.38089307981	1844.05811270297	-0.259609844575015	0.000830748499726002	0.00939510875811472	notDE
AT1G01740	WT	h3h3	377.843033840024	372.610366794334	0.0236863156047302	0.849973088099503	0.94788177272566	notDE
AT1G01750	WT	h3h3	82.93417791872	66.8764195503644	0.314137511652961	0.192434698029137	0.485437046201314	notDE
AT1G01760	WT	h3h3	223.209145593325	187.964761420375	0.248558712774	0.091162675742658	0.314828044029837	notDE
AT1G01770	WT	h3h3	2954.37630959	2371.62032937235	0.317100382525785	0.000863031557313032	0.00968648888881477	notDE
AT1G01780	WT	h3h3	1176.92670984587	948.618202519069	0.312214107907446	0.00706744046767928	0.0524789312119805	notDE
AT1G01790	WT	h3h3	3079.07247929294	3274.18256220471	-0.0887573182429474	0.241200828485866	0.548317300765093	notDE
AT1G01800	WT	h3h3	2111.59977164563	2187.28213646544	-0.0504674364231826	0.482199133064033	0.760796760816787	notDE
AT1G01810	WT	h3h3	37.2964674142626	29.3136065995262	0.346718484069316	0.361363348886588	0.670008321766778	notDE
AT1G01820	WT	h3h3	2476.0110751411	2614.33714027755	-0.0791929165999747	0.222863713131705	0.52563270374415	notDE
AT1G01830	WT	h3h3	1069.91270142863	1110.81115572388	-0.0560363326759089	0.557827249227399	0.810876172234325	notDE
AT1G01840	WT	h3h3	60.7762239995892	53.8410595920615	0.182822660823618	0.537849483581357	0.797746122224095	notDE
AT1G01860	WT	h3h3	337.626626683259	344.981654744094	-0.0342594060604149	0.779297055316578	0.920741991546135	notDE
AT1G01880	WT	h3h3	174.860998735732	179.903967046399	-0.0451057429201111	0.784975200553974	0.922777840471172	notDE
AT1G01900	WT	h3h3	337.486210001879	418.457829657352	-0.313360644818864	0.0218160784536972	0.12119100391334	notDE
AT1G01910	WT	h3h3	2420.26539560164	2428.80486412828	-0.0048023970224081	0.938674534702002	0.979698181689634	notDE
AT1G01920	WT	h3h3	1100.47872635324	1125.53084195652	-0.0309157770234843	0.698365005131572	0.884326698658433	notDE
AT1G01930	WT	h3h3	735.222738559692	771.47923394487	-0.0696260896120604	0.418192493075188	0.713975662620606	notDE
AT1G01940	WT	h3h3	603.888990066521	533.838471859139	0.175756952876666	0.0709091640980403	0.269336599709034	notDE
AT1G01950	WT	h3h3	1146.67400732286	1063.51631972672	0.109127383750048	0.175765142142384	0.461106274528868	notDE
AT1G01960	WT	h3h3	6713.89449391647	7189.22100827995	-0.0982494913822423	0.0943141416859439	0.32151183448018	notDE
AT1G01970	WT	h3h3	844.161148401123	818.169595084523	0.0451407229220539	0.585266554794722	0.827401853111233	notDE
AT1G01980	WT	h3h3	382.89976502684	558.703499170473	-0.544513326163648	0.375809704559991	0.682278175082261	notDE
AT1G01990	WT	h3h3	839.224150203696	913.153612860273	-0.121120769288625	0.227022388732111	0.53104297422483	notDE
AT1G02000	WT	h3h3	912.606448143432	1039.56534560241	-0.184608935428034	0.0706353626047267	0.268487094458683	notDE
AT1G02010	WT	h3h3	477.041190121913	493.210583514621	-0.0468568662947877	0.720433636787003	0.894759977727931	notDE
AT1G02020	WT	h3h3	685.747368555603	744.610555365348	-0.116975628288363	0.205666827220677	0.503272010112128	notDE
AT1G02030	WT	h3h3	70.6302333440826	75.0111635573322	-0.0810997853940002	0.788589478177025	0.924185611293219	notDE
AT1G02050	WT	h3h3	369.884133040162	390.114822543869	-0.073105301447758	0.564754401543	0.814525694622162	notDE
AT1G02060	WT	h3h3	434.959864243801	429.865528916135	0.0214574285002295	0.867173742009128	0.954162182831013	notDE
AT1G02065	WT	h3h3	631.526940178901	672.733620828041	-0.0883385646312728	0.369698894002165	0.677277162635232	notDE
AT1G02070	WT	h3h3	274.793194289912	301.09136653323	-0.131606931651428	0.313381168894099	0.625483208646554	notDE
AT1G02080	WT	h3h3	10107.8403757277	10600.5787984279	-0.0683511650109834	0.254941504238418	0.563417129688994	notDE
AT1G02090	WT	h3h3	1771.22841476195	1715.44320376527	0.0466392344456309	0.518577978564481	0.786497691994218	notDE
AT1G02100	WT	h3h3	1487.70034889165	1418.36592367113	0.0670857330729667	0.387617962172965	0.691782788729242	notDE
AT1G02110	WT	h3h3	995.117527681249	901.556514370106	0.144825406078774	0.147617970361298	0.418485416373736	notDE
AT1G02120	WT	h3h3	2992.23813113882	3232.27144078316	-0.111128930709231	0.0682586853771226	0.262528690257019	notDE
AT1G02130	WT	h3h3	1727.81728939272	1779.33414033557	-0.0426644064300875	0.537593530530254	0.797599604721453	notDE
AT1G02140	WT	h3h3	4042.47893127074	4094.45285417982	-0.0189413814684604	0.740817693705642	0.905049398751002	notDE
AT1G02145	WT	h3h3	1247.04991968341	1228.44182976892	0.0214186608236981	0.77294928581783	0.918472364653692	notDE
AT1G02150	WT	h3h3	3032.83184385352	2672.22015442289	0.183201232410724	0.0015217136979523	0.0155921047089227	notDE
AT1G02160	WT	h3h3	864.16566754605	928.069509002954	-0.102553734652826	0.258034401186301	0.567098388896206	notDE
AT1G02170	WT	h3h3	1271.39831805455	1248.8252686653	0.0272066765023864	0.742883912641379	0.906064864205784	notDE
AT1G02180	WT	h3h3	434.632098353186	379.276106601499	0.194481829001329	0.093171310313516	0.319033875376588	notDE
AT1G02190	WT	h3h3	1874.32276185328	2116.74478023892	-0.175054460765933	0.107601886939082	0.347608147352607	notDE
AT1G02205	WT	h3h3	15918.0120240352	18696.6844135623	-0.232141820792528	2.21059298701514e-05	0.000442842364985306	notDE
AT1G02220	WT	h3h3	944.203168121107	303.536297230828	1.64063337558362	2.6283686609683e-34	1.27923897442355e-31	DE
AT1G02230	WT	h3h3	10.0544371920918	7.64330116231408	0.404416251403653	0.584265180832652	0.826652849126221	notDE
AT1G02250	WT	h3h3	3.57132868149398	2.64673808563572	0.47504279953414	0.681812576637681	NA	notDE
AT1G02260	WT	h3h3	1154.19633772754	1317.31858900386	-0.190364870609787	0.0243985119031627	0.131726481045107	notDE
AT1G02270	WT	h3h3	730.405002391166	772.397923915304	-0.0833676874032446	0.35693989814531	0.666829618667174	notDE
AT1G02280	WT	h3h3	3237.54447514041	2500.65474273313	0.37206059864985	9.48863267655378e-08	3.63504595292306e-06	notDE
AT1G02290	WT	h3h3	724.051484505369	715.66944635076	0.0184511223725487	0.840642342734224	0.944058305191664	notDE
AT1G02300	WT	h3h3	1153.04601682342	1277.90600669866	-0.146062467461926	0.119258285121324	0.371694975385411	notDE
AT1G02305	WT	h3h3	10047.7171596834	9718.66044492957	0.0480028364368189	0.497964007675766	0.772340721984333	notDE
AT1G02310	WT	h3h3	890.09581639934	504.919838006599	0.819314747591391	2.5621991428174e-15	3.1534192323813e-13	notDE
AT1G02330	WT	h3h3	1260.73979143084	1333.94085421586	-0.0814161360758202	0.260635081594764	0.569652402248694	notDE
AT1G02335	WT	h3h3	381.082573348826	326.351266058918	0.228417507509465	0.131586704545135	0.394281415675677	notDE
AT1G02340	WT	h3h3	585.239616093934	565.266497239203	0.0507900568714955	0.627606191322939	0.849300890185197	notDE
AT1G02350	WT	h3h3	72.4842840851567	74.3491897390089	-0.0353082277539697	0.881505683677865	0.958979044985303	notDE
AT1G02360	WT	h3h3	5.42448553240987	10.885025302388	-0.991706589681389	0.190186510824538	0.48222165869139	notDE
AT1G02370	WT	h3h3	569.3711083468	494.865839184488	0.200675960022835	0.0680257154493528	0.262056250467331	notDE
AT1G02380	WT	h3h3	444.766930191334	331.704449678504	0.423169400174824	0.000141328407591324	0.00213287374811009	notDE
AT1G02390	WT	h3h3	1633.19341878484	967.684551654686	0.755430165619886	7.03112619646483e-15	8.18323736398338e-13	notDE
AT1G02400	WT	h3h3	783.542141238472	881.320382366408	-0.168271899913656	0.261288542043304	0.570472561768981	notDE
AT1G02405	WT	h3h3	12.3676027270402	9.62922529487853	0.376274132798448	0.546304023489279	0.803620048291173	notDE
AT1G02410	WT	h3h3	1012.75215794722	960.340167548599	0.0781972937049287	0.345526374893399	0.65649168207448	notDE
AT1G02420	WT	h3h3	187.894032803107	195.315948172337	-0.0599231782425816	0.699159116279327	0.884577682121773	notDE
AT1G02430	WT	h3h3	73.3478937967655	73.0288809213506	0.0134144594494596	0.956906373490741	0.986228056337314	notDE
AT1G02440	WT	h3h3	5.82084693314522	6.47748705306094	-0.178928562128055	0.833658383156971	0.942398346458326	notDE
AT1G02450	WT	h3h3	105.642918161263	63.7284793507674	0.728453648627409	0.0458979937698545	0.203373791968019	notDE
AT1G02460	WT	h3h3	68.4552086177901	69.6945327060518	-0.0241528305053145	0.926144895990849	0.975812691150998	notDE
AT1G02470	WT	h3h3	1719.10666459123	1454.63523201368	0.240271906069283	0.00161996235724322	0.0164181229911801	notDE
AT1G02475	WT	h3h3	1366.61151929718	1444.55196073884	-0.0802891931603565	0.270293604543059	0.582010435718915	notDE
AT1G02490	WT	h3h3	3.43860555931603	6.11606514831907	-0.795993609043091	0.415355581054729	NA	notDE
AT1G02500	WT	h3h3	17774.3263795772	17733.5779961836	0.00341211053813394	0.956469950415935	0.986181020088278	notDE
AT1G02520	WT	h3h3	180.630866568004	146.914421956723	0.292981115401919	0.125429163747091	0.383175587460039	notDE
AT1G02530	WT	h3h3	1004.95970217703	812.302137741928	0.308233823874195	0.0192623360297546	0.1108282982475	notDE
AT1G02560	WT	h3h3	8883.81797572849	9357.10280945215	-0.0750991907714047	0.229855554331844	0.534399815005584	notDE
AT1G02570	WT	h3h3	24.1415719940647	30.9551457346331	-0.345700791780272	0.406166387974482	0.706412182122435	notDE
AT1G02580	WT	h3h3	77.5101416604833	40.5780940335547	0.930126972600314	0.00174267259870139	0.0174470938294485	notDE
AT1G02610	WT	h3h3	321.292237080524	270.767605753296	0.247923349120536	0.0620028159494906	0.247322371041945	notDE
AT1G02620	WT	h3h3	7.07539104263505	11.3511502821664	-0.657605315563603	0.370091222650191	0.677509277915356	notDE
AT1G02630	WT	h3h3	905.070600695321	1202.86123093089	-0.408679531973585	2.96646252985837e-05	0.000567203527472473	notDE
AT1G02640	WT	h3h3	1519.73201495237	1347.0107744742	0.173668139480435	0.147078677395201	0.417537498301048	notDE
AT1G02650	WT	h3h3	11.9712413263048	14.5454025193759	-0.263316682062585	0.654467287397322	0.862272001932642	notDE
AT1G02660	WT	h3h3	3906.74407814038	2426.1279055003	0.687519045070248	7.87206645960807e-13	7.20428646292764e-11	notDE
AT1G02670	WT	h3h3	275.187292239758	230.274696256163	0.258117563505322	0.0566506979750622	0.234113218281736	notDE
AT1G02680	WT	h3h3	661.400350614295	682.179386697867	-0.0458597181356226	0.649179020868912	0.85968129679377	notDE
AT1G02690	WT	h3h3	1139.67929400652	1015.31090288852	0.164698915796387	0.13512612639273	0.398985804545555	notDE
AT1G02700	WT	h3h3	46.9622414230094	30.2870514659906	0.629662156898513	0.145189972393328	0.415052248854365	notDE
AT1G02710	WT	h3h3	15.4748528605433	17.6923393993586	-0.178316537985026	0.734179843218927	0.90229333386131	notDE
AT1G02720	WT	h3h3	755.178986670621	724.81171439395	0.0602342077486424	0.526126173242747	0.790610623815411	notDE
AT1G02730	WT	h3h3	3199.68500249448	2970.00493307258	0.107504682822703	0.201883470894624	0.498776764723909	notDE
AT1G02740	WT	h3h3	531.795195763261	542.971612170761	-0.0296469932468303	0.762587592907849	0.91494275881683	notDE
AT1G02750	WT	h3h3	444.037405398987	444.669123221744	-0.0014932654355819	0.988563917329945	0.996615925721888	notDE
AT1G02770	WT	h3h3	46.6277038124789	35.4258737056247	0.380655132978673	0.294055543767583	0.606082720864562	notDE
AT1G02780	WT	h3h3	32537.6843060396	28786.3235081244	0.176744123740773	0.000415427802149303	0.00535604237388761	notDE
AT1G02790	WT	h3h3	2560.9428624502	3289.79290303758	-0.361218573135673	0.520761559153317	0.787598007339228	notDE
AT1G02800	WT	h3h3	163.55834609081	137.766198041635	0.245832356887149	0.211395087020141	0.51054762473625	notDE
AT1G02810	WT	h3h3	236.11441873991	234.033502229825	0.0144254441704526	0.930549745779921	0.977472056010056	notDE
AT1G02816	WT	h3h3	1371.91771593195	1178.23847038353	0.219395925030994	0.015450903895732	0.0944564964108197	notDE
AT1G02820	WT	h3h3	57.9407549780189	79.5334772422789	-0.465449366174537	0.172264802866644	0.456452703958078	notDE
AT1G02840	WT	h3h3	5049.02552464329	5392.19804730522	-0.0945597713554996	0.135197858672178	0.399071280973769	notDE
AT1G02850	WT	h3h3	153.703013767467	110.459191300946	0.478827805432408	0.0190631398811255	0.109918454645747	notDE
AT1G02860	WT	h3h3	988.280572138945	822.928480200415	0.263237502758138	0.00263132764694747	0.0242678215156675	notDE
AT1G02870	WT	h3h3	935.10746346055	830.183191499521	0.170545020563378	0.0433736394762144	0.195876526651863	notDE
AT1G02880	WT	h3h3	984.773820343682	974.537538218746	0.0148222878206727	0.861244298033512	0.951761079210079	notDE
AT1G02890	WT	h3h3	4688.77203687814	5012.37257724155	-0.096141276666636	0.150057797999637	0.422146908738222	notDE
AT1G02900	WT	h3h3	70.1101870974324	56.7274796001183	0.316715723329118	0.28013702867143	0.592331602389284	notDE
AT1G02910	WT	h3h3	1311.34787990437	1381.07371334077	-0.0735697163729474	0.311343137125248	0.623241327953985	notDE
AT1G02920	WT	h3h3	119.786920762972	33.8660395111831	1.81462599970255	3.70613677798244e-08	1.57162216040582e-06	DE
AT1G02930	WT	h3h3	1715.50897013568	1073.46829092061	0.674388687758676	5.71308601878438e-11	4.11938508728173e-09	notDE
AT1G02940	WT	h3h3	83.0628234132927	50.1332104722091	0.736364573194653	0.0108601005673856	0.0724965877963097	notDE
AT1G02950	WT	h3h3	73.5460752734978	59.4168882267836	0.306931527701186	0.2368349165992	0.542730844191747	notDE
AT1G02960	WT	h3h3	1012.91825618286	1076.2675837988	-0.0867307921716178	0.387884811673266	0.691845596143259	notDE
AT1G02970	WT	h3h3	250.587976565279	177.472437114691	0.495851328296594	0.00388616928849785	0.0329854598942455	notDE
AT1G02980	WT	h3h3	26.7170140104865	13.4867704388956	1.00799400272277	0.0492800023877555	0.21350015195909	notDE
AT1G02990	WT	h3h3	1844.70997370566	1886.67393449687	-0.0317308808362034	0.645485812256561	0.85769883190602	notDE
AT1G03000	WT	h3h3	1446.85157913684	1592.15926917916	-0.137023929211595	0.0504384235194487	0.216677801337812	notDE
AT1G03010	WT	h3h3	219.695578601724	166.94883639464	0.396698740834287	0.035060449353091	0.169406344684003	notDE
AT1G03030	WT	h3h3	805.271092550543	823.859036612018	-0.0346018813700797	0.692319063136772	0.881508263456934	notDE
AT1G03040	WT	h3h3	2872.60775274096	3039.41868144915	-0.080971353993415	0.226845393401207	0.53097541804425	notDE
AT1G03050	WT	h3h3	329.448510867076	458.850141857756	-0.47729748449866	0.357486085728292	0.666977219539238	notDE
AT1G03055	WT	h3h3	16.0039358307272	22.5537644054202	-0.505748165240807	0.281159260617071	0.593438356605023	notDE
AT1G03060	WT	h3h3	5575.58151632829	5606.40149083988	-0.0073823294860188	0.914357047139997	0.972483544301119	notDE
AT1G03070	WT	h3h3	46.6922651714163	47.7311122164671	-0.0203935712609688	0.946901872826179	0.981714422982149	notDE
AT1G03080	WT	h3h3	12634.2614495804	13028.1487152419	-0.0442817502071678	0.342511266866003	0.652859704489137	notDE
AT1G03090	WT	h3h3	2604.82520175533	2075.64120681599	0.32733161017945	0.00243656962812013	0.0228249960608369	notDE
AT1G03100	WT	h3h3	226.041437088366	206.493085207483	0.124353947916658	0.441810033399105	0.732076900746041	notDE
AT1G03106	WT	h3h3	17.7225615936667	10.8291132187003	0.720415720501333	0.219059046082311	0.521007271418556	notDE
AT1G03110	WT	h3h3	870.485889507585	727.597542460466	0.259751156442324	0.00333843178210432	0.0293965940023701	notDE
AT1G03120	WT	h3h3	20.570692586744	29.6518738242591	-0.520020020743682	0.230580982194045	0.535156793506608	notDE
AT1G03130	WT	h3h3	9384.73889655881	9622.63319020208	-0.0357204183175238	0.524864781993853	0.789490714785304	notDE
AT1G03140	WT	h3h3	2193.62703878378	2264.93177053879	-0.0448277345527654	0.528954082725783	0.792412204494971	notDE
AT1G03150	WT	h3h3	631.917876129512	624.778010825252	0.016810124448561	0.861726830987899	0.951761079210079	notDE
AT1G03160	WT	h3h3	2152.35832333092	2144.61041062063	0.00515599182260341	0.934508269839556	0.97864873066676	notDE
AT1G03170	WT	h3h3	3109.4592931835	3762.46650750381	-0.275281435328775	0.00442608880968749	0.0365258928167466	notDE
AT1G03180	WT	h3h3	265.526497512421	233.702828411939	0.18567648303548	0.185878338792867	0.475903076468839	notDE
AT1G03190	WT	h3h3	660.364355934082	678.114442043006	-0.0389157113852132	0.681527598715486	0.8760452296814	notDE
AT1G03200	WT	h3h3	43.1173127946784	51.8648920512101	-0.273129730523788	0.37801464599628	0.684350633528645	notDE
AT1G03210	WT	h3h3	636.808784397276	719.842945458289	-0.174584604407318	0.143497877918341	0.412927580706971	notDE
AT1G03220	WT	h3h3	3226.02182586901	2006.54335638992	0.684732591318225	6.42130483700904e-08	2.59457062423677e-06	notDE
AT1G03230	WT	h3h3	698.03468227408	681.726338682326	0.031135281204284	0.798978788259356	0.928688267431713	notDE
AT1G03240	WT	h3h3	6.14949118662506	4.76896015406896	0.395891875091475	0.670179454570675	0.869179567564862	notDE
AT1G03250	WT	h3h3	1027.4834451668	1006.93372943374	0.027785017641304	0.747141794148119	0.907772442053197	notDE
AT1G03260	WT	h3h3	353.033319333291	373.562976711294	-0.0790388594705885	0.496166540002769	0.771074488690805	notDE
AT1G03270	WT	h3h3	243.116213252803	241.520984240061	0.00466405075888588	0.973846339920665	0.992250023064143	notDE
AT1G03280	WT	h3h3	2222.74799286314	2343.53382585233	-0.0769246613477797	0.215747094726863	0.516850657054333	notDE
AT1G03290	WT	h3h3	2781.25925905938	2779.83427449072	0.00033152695114678	0.995511979407663	0.998870310594345	notDE
AT1G03300	WT	h3h3	534.92186871908	508.646571449732	0.0721803845919042	0.536361175410186	0.796544699820328	notDE
AT1G03310	WT	h3h3	1501.89499627393	1575.17932944683	-0.0689133579434443	0.323324690990593	0.635987715400344	notDE
AT1G03320	WT	h3h3	2.44679496911966	1.60018500496708	0.549258528826945	0.711744312326783	NA	notDE
AT1G03330	WT	h3h3	1565.98025073533	1454.29195086847	0.105862528124712	0.166616895635084	0.44679449286568	notDE
AT1G03340	WT	h3h3	24.602933158805	20.3974685224184	0.272671572865084	0.546214222740641	0.803598349820749	notDE
AT1G03350	WT	h3h3	2651.40669725101	2609.26974609214	0.0228688477814911	0.736090569094242	0.902931580774041	notDE
AT1G03360	WT	h3h3	625.725540911743	541.367785669211	0.20763621327733	0.0410370350089016	0.188625907859117	notDE
AT1G03365	WT	h3h3	1162.50495979689	1206.30825008754	-0.0536824765738824	0.497230007792011	0.771775068265994	notDE
AT1G03370	WT	h3h3	1688.35219267619	1746.60843784553	-0.0480392474641881	0.538873555156766	0.798146486842465	notDE
AT1G03380	WT	h3h3	2361.48718347866	2425.51298003355	-0.0381191230933911	0.61018816799786	0.841196127162052	notDE
AT1G03390	WT	h3h3	1.25589969565636	4.4270541103477	-1.82568628868882	0.185250693803953	NA	notDE
